Alle Berechnungsarten;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;load1;load1;load1;load1
"Zeitpunkt in s";"Impedanz, phi in deg";"Impedanz, mag in p.u.";"Gesamte Wirkleistung/Anschluss i in MW";"Gesamte Blindleistung/Anschluss i in Mvar";"Gesamte Wirkleistung/Anschluss j in MW";"Gesamte Blindleistung/Anschluss j in Mvar";"u1, Betrag/Anschluss i in p.u.";"u1, Betrag/Anschluss j in p.u.";"Mitsystem-Strom, Betrag/Anschluss i in kA";"Mitsystem-Strom, Betrag/Anschluss j in kA";"u1, Betrag in p.u.";"Mitsystem-Strom, Betrag in kA";"Gesamte Wirkleistung in MW";"Gesamte Blindleistung in Mvar"
0,31000000;83,29016326;0,16629975;-0,49995032;-0,00000000;0,50490388;-0,04794267;0,99413551;0,99999981;0,01759692;0,01774652;0,99413551;0,01759692;0,49995031;0,00000000
0,32000000;83,29016326;0,16629975;-0,49995032;-0,00000000;0,50490388;-0,04794267;0,99413551;0,99999981;0,01759692;0,01774652;0,99413551;0,01759692;0,49995031;0,00000000
0,33000000;83,29016326;0,16629975;-0,49995032;-0,00000000;0,50490388;-0,04794267;0,99413551;0,99999981;0,01759692;0,01774652;0,99413551;0,01759692;0,49995031;0,00000000
0,34000000;83,29016326;0,16629975;-0,49995032;-0,00000000;0,50490388;-0,04794267;0,99413551;0,99999981;0,01759692;0,01774652;0,99413551;0,01759692;0,49995031;0,00000000
0,35000000;83,29016326;0,16629975;-0,49995032;0,00000000;0,50490388;-0,04794267;0,99413551;0,99999981;0,01759692;0,01774652;0,99413551;0,01759692;0,49995031;0,00000000
0,36000000;83,29016326;0,16629975;-0,49995032;-0,00000000;0,50490388;-0,04794267;0,99413551;0,99999981;0,01759692;0,01774652;0,99413551;0,01759692;0,49995031;0,00000000
0,37000000;83,29016326;0,16629975;-0,49995032;-0,00000000;0,50490388;-0,04794267;0,99413551;0,99999981;0,01759692;0,01774652;0,99413551;0,01759692;0,49995031;0,00000000
0,38000000;83,29016326;0,16629975;-0,49995032;-0,00000000;0,50490388;-0,04794267;0,99413551;0,99999981;0,01759692;0,01774652;0,99413551;0,01759692;0,49995031;0,00000000
0,39000000;83,29016326;0,16629975;-0,49995032;-0,00000000;0,50490388;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995031;0,00000000
0,40000000;83,29016326;0,16629975;-0,49995032;-0,00000000;0,50490388;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995031;0,00000000
0,41000000;83,29016326;0,16629975;-0,49995032;-0,00000000;0,50490388;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995031;0,00000000
0,42000000;83,29016326;0,16629975;-0,49995032;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,43000000;83,29016326;0,16629975;-0,49995032;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,44000000;83,29016326;0,16629975;-0,49995032;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,45000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,46000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,47000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,48000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,49000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,50000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,51000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,52000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,53000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,54000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,55000000;83,29016326;0,16629975;-0,49995031;0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,56000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,57000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999981;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,58000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,59000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,60000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,61000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,62000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,63000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,64000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,65000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,66000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,67000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,68000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,69000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,70000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,71000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,72000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,73000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,74000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,75000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,76000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,77000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,78000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,79000000;83,29016326;0,16629975;-0,49995031;0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,80000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
