x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30
X_ad;X_aq;X_ls;R_s;X_rld;X_rlq;X″_d;X″_q;X′_d;X′_q;X_d;X_q;X_fd;X_1d;X_1q;X_2q;R_fd;R_1d;R_1q;R_2q;X_det_d;X_det_q;X_fd_loop;X_1d_loop;X_1q_loop;X_2q_loop;k_fd;k_1d;k_1q;k_2q
0,27819;0,1566675;0,08316;0,0;0,0;0,0;0,1;0,1;0,15048;0,0001;0,36135;0,2398275;0,09142536;0,02229661;0,01886811;-0,0;0,00011117;0,00317154;0,00310415;-0,0;0,03367479;0,00295602;0,36961536;0,30048661;0,17553561;0,1566675;0,18419398;0,75527186;0,89251121;0,0
