Alle Berechnungsarten;L1-2a;L1-2a;L1-2a;L1-2a;L1-2a;L1-2a;L1-2a;L1-2a;Bus1;Bus1;Bus1;Bus2;Bus2;Bus2
"Zeitpunkt in s";"u1, Betrag/Anschluss i in p.u.";"Mitsystem-Spannung, Winkel/Anschluss i in deg";"Gesamte Wirkleistung/Anschluss i in MW";"Gesamte Blindleistung/Anschluss i in Mvar";"u1, Betrag/Anschluss j in p.u.";"Mitsystem-Spannung, Winkel/Anschluss j in deg";"Gesamte Wirkleistung/Anschluss j in MW";"Gesamte Blindleistung/Anschluss j in Mvar";"u1, Betrag in p.u.";"U, Winkel in deg";"Elektrische Frequenz in Hz";"u1, Betrag in p.u.";"U, Winkel in deg";"Elektrische Frequenz in Hz"
0,30000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,31000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,32000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,33000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,34000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,35000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,36000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,37000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,38000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,39000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,40000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,41000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,42000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,43000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,44000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,45000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,46000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,47000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,48000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,49000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,50000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,51000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,52000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,53000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,54000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
