Standard Model;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1;G1
"Zeitpunkt in s";"Gesättigte Hauptfeldreaktanz, d-Achse in p.u.";"Gesättigte Hauptfeldreaktanz, q-Achse in p.u.";"xl in p.u.";"rstr in p.u.";"xrld in p.u.";"xrlq in p.u.";"Subtransiente Reaktanz, d-Achse in p.u.";"Subtransiente Reaktanz, q-Achse in p.u.";"xd' in p.u.";"xq' in p.u.";"Synchrone Reaktanz, d-Achse in p.u.";"Synchrone Reaktanz, q-Achse in p.u.";"Reaktanz der Erregerwicklung in p.u.";"Reaktanz der 1d-Dämpferwicklung in p.u.";"Reaktanz der 1q-Dämpferwicklung in p.u.";"Reaktanz der 2q-Dämpferwicklung in p.u.";"Widerstand der Erregerwicklung in p.u.";"Widerstand der 1d-Dämpferwicklung in p.u.";"Widerstand der 1q-Dämpferwicklung in p.u.";"Widerstand der 2q-Dämpferwicklung in p.u.";"Mechanisches Moment in p.u.";"Elektrisches Moment in p.u.";"Ständerstrom, d-Achse in p.u.";"Ständerstrom, q-Achse in p.u.";"Strom in Erregerwicklung in p.u.";"Strom in 1d-Dämpferwicklung in p.u.";"Strom in 1q-Dämpferwicklung in p.u.";"Strom in 2q-Dämpferwicklung in p.u.";"Ständerfluss, d-Achse";"Ständerfluss, q-Achse in p.u.";"Subtransienter Fluss, d-Achse in p.u.";"Subtransienter Fluss, q-Achse in p.u.";"Fluss in Erregerwicklung in p.u.";"Fluss in 1d-Dämpferwicklung in p.u.";"Fluss in 1q-Dämpferwicklung in p.u.";"Fluss in 2q-Dämpferwicklung in p.u.";"Spannung, d-Achse in p.u.";"Spannung, q-Achse in p.u.";"Subtransiente Spannung, d-Achse in p.u.";"Subtransiente Spannung, q-Achse in p.u.";"Erregerspannung in p.u.";"Konvertierungsfaktor (=xadu/rfd)"
0,000000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,001000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,002000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,003000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,004000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,005000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,006000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,007000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,008000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,009000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,010000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,011000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,012000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,013000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,014000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,015000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,016000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,017000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,018000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,019000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,020000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,021000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,022000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,023000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
0,024000;0,278190;0,156667;0,083160;0,000000;0,000000;0,000000;0,100000;0,100000;0,150480;0,150000;0,361350;0,239827;0,091425;0,022297;0,018868;0,000000;0,000111;0,003172;0,003104;0,000000;0,289457;0,289457;0,122251;0,271209;3,889929;0,000000;-0,000000;0,000000;1,037964;-0,065043;1,050189;-0,037923;1,403769;1,048130;-0,042490;0,000000;0,065043;1,037964;0,037923;1,050189;1,082139;2,502297
